ID,ID_episode,X,Y,VelX,VelY,Angle,AngularVel,ActionID,ResX,ResY,ResVelX,ResVelY,ResAngle,ResAngularVel,TotalReward
184,2,0.03,1.57,0.11,0.09,-0.07,-0.04,2,0.03,1.57,0.12,0.09,-0.07,-0.03,-119.20442844050713
185,2,0.03,1.57,0.12,0.09,-0.07,-0.03,1,0.03,1.57,0.11,0.07,-0.07,0.01,-119.20442844050713
186,2,0.03,1.57,0.11,0.07,-0.07,0.01,1,0.03,1.57,0.1,0.04,-0.07,0.06,-119.20442844050713
187,2,0.03,1.57,0.1,0.04,-0.07,0.06,2,0.03,1.57,0.11,0.08,-0.06,0.06,-119.20442844050713
188,2,0.03,1.57,0.11,0.08,-0.06,0.06,1,0.03,1.57,0.1,0.06,-0.06,0.1,-119.20442844050713
189,2,0.03,1.57,0.1,0.06,-0.06,0.1,1,0.04,1.57,0.09,0.03,-0.05,0.13,-119.20442844050713
190,2,0.04,1.57,0.09,0.03,-0.05,0.13,0,0.04,1.57,0.09,0.0,-0.04,0.13,-119.20442844050713
191,2,0.04,1.57,0.09,0.0,-0.04,0.13,1,0.04,1.57,0.08,-0.02,-0.04,0.17,-119.20442844050713
192,2,0.04,1.57,0.08,-0.02,-0.04,0.17,2,0.04,1.57,0.07,-0.02,-0.03,0.16,-119.20442844050713
193,2,0.04,1.57,0.07,-0.02,-0.03,0.16,1,0.04,1.57,0.06,-0.05,-0.02,0.2,-119.20442844050713
